						Hr en 	Prom
EDAD	PESO	ESTATURA	TALLA 	COLOR DE PIEL	SEXO	Redes Soc	Calific
18	84.00	1.69	GRANDE	MORENO	M	7	7.70
19	52.20	1.75	CHICA	BLANCA	F	10	7.08
22	62.00	1.60	MEDIANA	MORENO	F	13	7.76
19	54.00	1.60	CHICA	BLANCA	F	14	7.00
19	85.00	1.80	GRANDE	BLANCA	F	15	5.70
19	50.90	1.65	CHICA	BLANCA	F	17	6.46
21	60.50	1.67	MEDIANA	BLANCA	M	17	6.52
19	67.30	1.59	GRANDE	BLANCA	F	18	5.66
18	78.00	1.73	GRANDE	MORENO	M	19	6.50
19	50.00	1.60	CHICA	BLANCA 	F	19	6.24
19	79.00	1.54	GRANDE	BLANCA	F	20	6.24
18	75.00	1.65	MEDIANA	MORENO CLARO	M	21	6.66
19	52.00	1.56	CHICA	BLANCA	F	22	6.22
19	61.20	1.73	CHICA	MORENO	M	22	6.84
21	88.00	1.75	GRANDE	MORENO	M	24	6.32
19	68.90	1.83	MEDIANA	BLANCA	M	25	5.90
19	62.00	1.56	MEDIANA	MORENO CLARO	F	25	6.50
24	75.00	1.69	GRANDE 	MORENO CLARO	M	26	5.90
18	50.00	1.65	CHICA	MORENO	F	27	4.90
21	63.00	1.72	MEDIANA	MORENO	M	28	4.90
21	74.00	1.72	MEDIANA	MORENO CLARO	M	29	5.10
18	52.00	1.67	CHICA	BLANCA	F	30	4.66
18	51.00	1.61	CHICA	MORENO CLARO	F	30	5.10
